method,problem,seconds,note,total_cost,adjusted_cost,plan_cost,up_cost,down_net_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,plan_kwh,equivalent_cycles,cvar95,max_daily,daily_std,final_soc,gap_vs_baseline_percent,top17_mean
B0 分位法 α=0.60（沿用第三问标定）,Q4-3,15.7526540000,,14146478.8086460009,14145416.1407500003,13302051.0800410006,723151.9022780000,-239657.5447430000,360933.3710700000,70827.6333180000,590489.7644510000,691835.3508020000,6616363.0360260000,5356935.8232650002,1438312.8620180001,20667447.5227800012,223.2056590000,75385.2866384551,81968.2690620000,18706.8666360000,7856.2468510000,0.0000000000,75324.7208980588
B1 分位法+当作固定分时电价,Q4-3,15.5600540000,误以为电价不波动,14177316.3421480004,14176067.9882200006,13363306.5756589994,718642.0486450000,-239158.3537780000,334526.0716220000,57410.3554530000,583236.9138280000,687624.6671640000,6949236.5215299996,5626158.2679169998,1489656.5826480000,20798901.7291110009,234.4232610000,75011.7815390838,81192.6101420000,18485.3643170000,8306.3341910000,0.2166910000,74957.4176767059
H3 HYBRID-4L（联合情景随机 LP·主策略）,Q4-3,247.8046170000,,14029554.0049559996,14028199.2392129991,13115295.4742460009,743422.7261980000,-174591.1087860000,345426.9132980000,64758.9427780000,594503.6720180000,502820.6894770000,6578063.7662410000,5325276.1961650001,1311084.2569490001,20346619.3966730013,221.8865080000,74840.0121132934,81602.6596850000,18561.6258630000,8564.2674880000,-0.8286560000,74787.2638671176
U3 主策略+完美电价,Q4-3,245.9780770000,冻结策略的完美价格替换对照；不是理论信息价值上界,13920210.9301830009,13919168.3972999994,12983724.9791550003,762616.6303330000,-170928.4364330000,344797.7571290000,65363.2730540000,618791.0025680000,500574.3529320000,6893421.7408570005,5581397.2992000002,1323025.3269580000,20390659.3408919983,232.5582210000,74549.5502080479,81553.3186340000,18508.9878240000,7807.4412710000,-1.5994420000,74491.2145221765
W3 滚动视野完美信息对照,Q4-3,14.7588000000,完美电价+完美净负荷，但仍受 24h 滚动视野与终端代理约束——不是下界,12832085.8985680006,12830984.5522889998,12826909.0679940004,5176.8305730000,-0.0000000000,0.0000000000,0.0000000000,11765.4455200000,0.0000000000,6968128.4736580001,5641781.4499120004,990168.0903120000,20243939.1635040008,235.0742270000,69128.7095313833,71376.2469110000,17412.0089220000,7950.0000000000,-9.2922790000,69098.1579738235
A3 HYBRID 不做日内更新,Q4-3,56.3669300000,,15278750.6987839993,15277271.3223790005,13451410.3749650009,0.0000000000,0.0000000000,1827340.3238190000,287319.6376290000,0.0000000000,0.0000000000,6311893.5504949996,5109406.4802169995,1843770.7437239999,20698127.6713399999,212.8919370000,101973.1369873533,143974.4553500000,22805.5338850000,8866.3132590000,8.0015690000,101476.9161208824
X3 1月无约束最优（shrink 超出建模含义范围·未采纳）,Q4-3,249.3508040000,1 月适应度更低但 shrink_net=0.215；并列报告以验证不采纳的决定,14210791.3813620005,14210031.7440530006,12997875.8766569998,853480.4653890000,-192215.9522880000,551650.9916040000,109265.5195830000,668100.0986930000,561133.7014950000,6581273.1864029998,5329174.1136809997,1296250.4021560000,20271307.0530649982,222.0489210000,76811.2947983114,82946.8739900000,18749.3709070000,7121.7261730000,0.4567950000,76729.2691522353
B0 分位法 α=0.60（沿用第三问标定）,Q4-2,3.5918990000,,15586991.4183120001,15585897.8452259991,13304127.7786490005,0.0000000000,0.0000000000,2282863.6396630001,370073.1444720000,0.0000000000,0.0000000000,6448676.5053009996,5221042.3129530000,1878164.8058660000,20674915.3487089984,217.5434300000,100225.6310506766,149039.0532830000,22846.8716030000,7857.2134910000,3.0299580000,99794.8987477647
M2 分位法 α=0.675（1 月重标定·主策略）,Q4-2,4.0259040000,,15128648.2982880007,15127539.7054420002,13597303.0604640003,0.0000000000,0.0000000000,1531345.2378240000,247080.0905360000,0.0000000000,0.0000000000,6441864.7516679997,5215492.0265370002,2162704.5705929999,21081186.7001550011,217.3121680000,94181.4112210299,138727.8101340000,21753.4870230000,7893.6201270000,0.0000000000,93854.9692130000
B1 分位法+当作固定分时电价,Q4-2,3.6723610000,误以为电价不波动,15178371.3853760008,15177074.4061110001,13657919.6417590007,0.0000000000,0.0000000000,1520451.7436170001,235841.5996520000,0.0000000000,0.0000000000,6760726.6125149997,5473359.1642580004,2222785.4992689998,21213500.8428409994,228.0566320000,94229.4168083832,137289.3988420000,21578.4644350000,8350.2529780000,0.3274470000,93890.6285750588
H2 HYBRID-4L（联合情景随机 LP）,Q4-2,55.8726810000,shrink 按结构性论证固定为 1；该口径下未能胜过分位法，如实报告,15151527.9196409993,15152826.3568849992,13777304.9191500004,0.0000000000,0.0000000000,1374223.0004910000,221556.6855720000,0.0000000000,0.0000000000,6169676.6032069996,5000270.6210920000,2062595.9482440001,20949634.7397530004,208.3446090000,95518.8784764970,147383.1573960000,21959.8433640000,2059.1814510000,0.1671560000,95161.1402288823
U2 主策略+完美电价,Q4-2,3.7615100000,冻结策略的完美价格替换对照；不是理论信息价值上界,15055218.5063060001,15054879.0969629996,13479218.8021310009,0.0000000000,0.0000000000,1575999.7041750001,255688.0837850000,0.0000000000,0.0000000000,6746030.3017579997,5463544.1146700000,2170853.9483759999,21136841.5466459990,227.6476710000,94281.2017883293,136755.1395100000,21801.4781000000,6029.1839500000,-0.4803200000,93942.5494778235
W2 滚动视野完美信息对照,Q4-2,3.4887470000,完美电价+完美净负荷，但仍受 24h 滚动视野与终端代理约束——不是下界,12839583.3875179999,12841236.2848419994,12839583.3875179999,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,6917221.3412469998,5606555.1222110000,990168.0903120000,20240023.8043150008,233.6064630000,69308.0800920779,70725.4048940000,17226.4586070000,1200.0000000000,-15.1135180000,69286.6142818823
