parameter,value,source_type,reason,selection_or_check
DT,1/6 h,数据,10分钟功率转电量；来自附件采样间隔,固定
T,144,数据,24小时/10分钟,固定
capacity,12000 kWh,题目,附录1,固定
LO/HI,1200/10800 kWh,题目,附录1储能保护边界,固定
CAP,5000/6 kWh/槽,题目+单位换算,5000 kW乘时间间隔,固定
ETA,0.9/0.9,题意解释,充电和放电各90%；往返效率81%,沿用原解释
INITIAL,6000 kWh,题目+初始化假设,1月1日6000；1月电池闲置，2月1日继承6000,所有策略共同
emergency_multiplier,5,题目,Q2按时刻电价5倍紧急购电,固定
daily_cyclic_SOC,6000 kWh,结构假设,P0—P5用于同边界比较；不是Q2明确强制,P6独立检验
far_terminal_SOC,1200/6000/10800,结构敏感性,保护边界与原初始电量；不是已学习最优,P6逐一比较
horizon_days,2/3,结构敏感性,跨过一个/两个午夜；每天只执行第一天,P6比较48/72小时
window,14/21/28/42/56天,验证选择,覆盖2/3/4/6/8个完整周；保留原21天,月初历史费用验证
half_life,7/14/28/无限天,验证选择,一周/两周/四周/不遗忘；rho=2^(-1/h),月初历史费用验证
conditional_pool,最多120天,工程结构,约四个月候选历史；不得包含当日或未来,固定并声明未证明最优
neighbors,14/21/28/42,验证选择,有效样本量与相似性之间折中,月初历史费用验证
conditional_features,季节/加星期/加负荷光伏预测,机制消融,依次增加信息；无天气与未来观测,历史候选池标准化
calibration_days,28/56天,验证协议,最近四周主设置，八周敏感性；均早于决策月,月度外层验证
near_tie,0.1%,预设决策规则,近似同价优先等权、少场景和简单结构,不事后调整阈值
CVaR_beta,0.90/0.95,风险口径,关注最坏10%/5%日总费用；不是用户偏好的学习结果,分别报告
CVaR_B,两端点间五个等距预算,内生风险前沿,端点来自风险中性和最小CVaR解；五点用于作图,每日从可实现范围生成
lambda_risk,0及预算对偶乘子,优化输出,风险预算边际价格；非凭空指定的风险偏好,实际惩罚LP复核
quantiles,0.5/0.8/0.9/0.95,诊断口径,中位数、简化经济分位、两种尾部风险水平,不混称覆盖保证
Ridge_alpha,load=100; PV=10,既有3月验证,只用于P6递归未来输入；不重新搜索架构,沿用且注明网格局限
EPS,1e-8 元/kWh,数值,沿用原吞吐打破平局项，不是真实退化费,报告主费用不含EPS
HiGHS_tolerance,primal/dual 1e-8,数值,求解精度；独立可行性阈值1e-5,原始矩阵与对偶验证
bootstrap,"block=7,reps=2000,seed=2026",统计协议,保留周内相关性；探索性区间，不作选参目标,所有策略共用
parallel_workers,4,运行环境,最多4个CPU线程并行任务；单个HiGHS线程数1,不按结果调参
