parameter,category,source,selection
battery/SOC/power/efficiency,题设物理参数,题目与附件直接给定,不参与寻优
alpha,数据学习参数,预先声明候选域 0.50–0.95；搜索段拟合、后置验证段验收,滚动时间验证
window,结构候选参数,14/21/28/42/56 天，均围绕 7 日周期构造,滚动时间验证
rho,数据学习参数,"[0,1] 等距离散为 0/0.25/0.5/0.75/1",滚动时间验证
smooth,结构候选参数,0/3/5 点：无平滑、弱平滑、中等平滑,滚动时间验证
similar-day blend,数据学习参数,0–0.5 以 0.1 为步长；条件残差样本更小，故不允许权重超过全局残差,搜索段选择+验证段验收
similar-day K,结构候选参数,14/21/28/42 天，均为完整周的整数倍,搜索段选择+验证段验收
42/14/1 temporal split,实验协议参数,6 周搜索 + 2 周成本后置验证 + 1 日信息隔离,事前固定，不按全年结果调节
near tie rule,统计选择规则,删除固定0.1%带宽；用7日循环块Bootstrap 90%区间判断候选相对最优者是否可区分,搜索段内只作简约性规则，部署仍须独立验证
one-grid update limit,稳定性规则,每次正式更新仅允许在预先声明网格上移动一档,事前固定，不按全年结果调节
bootstrap block=7,数值/统计参数,保留周周期相关结构,事前固定
bootstrap CI=90%,统计口径参数,有限14日验证窗下的保守证据门槛,事前固定并披露局限
CVaR alpha=95%,风险偏好参数,风险管理口径；不是由样本拟合出的参数,使用56个历史日，尾部质量2.8日；14日CVaR95仅作退化诊断
risk validation=56 days,实验协议参数,8个完整周且CVaR95包含2.8个尾部日，避免14日CVaR95严格等于worst-day,事前固定；不作为成本收益验证窗
inventory value,经济核算参数,主值为最低电价补库成本 p_min/eta_c；另报0与eta_d*p_max上下口径,三口径敏感性，不声称精确市场终值
reference E_target,边界结构参数,6000为题给初始SOC和容量50%；1200/4800/7200/10800覆盖保护边界与±10%容量,6000主报告，五档实际重跑敏感性
SciPy=1.15.3,数值环境参数,Colab SciPy 1.16.3 对旧SAA稀疏LP返回HiGHS Status Not Set；1.15.3通过常数/真实场景试运行,锁定环境并仍检查原始/对偶残差
forecast_core inherited constants,继承模型参数,来自已审计A预测主干；本版为保持基准可比性不重新事后寻优,保留并在报告中单列敏感性/局限
